day,V[km/h],,,,
2025/6/23/9:23,0,,,,
2025/6/23/9:24,14,,,,
2025/6/23/9:25,21,,,,
2025/6/23/9:26,34,,,,
2025/6/23/9:27,56,,,,
2025/6/23/9:28,62,,,,
2025/6/23/9:29,76,,,,
2025/6/23/9:30,82,,,,
2025/6/23/9:31,88,,,,
2025/6/23/9:32,87,,,,
2025/6/23/9:33,80,,,,
2025/6/23/9:34,92,,,,
2025/6/23/9:35,85,,,,
2025/6/23/9:36,89,,,,
2025/6/23/9:37,82,,,,
2025/6/23/9:38,80,,,,
2025/6/23/9:39,87,,,,
2025/6/23/9:40,88,,,,
2025/6/23/9:41,80,,,,
2025/6/23/9:42,85,,,,
2025/6/23/9:43,92,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
